"","term","num"
"1367","refs",2
"1368","reids",2
"1369","repeat",2
"1370","reportcowboysredskins",2
"1371","reportedly",2
"1372","reports",2
"1373","resists",2
"1374","rest",2
"1375","review",2
"1376","rgtv",2
"1377","rick",2
"1378","rid",2
"1379","ridiculous",2
"1380","road",2
"1381","rocking",2
"1382","rocks",2
"1383","romos",2
"1384","ron",2
"1385","room",2
"1386","root",2
"1387","rotoworldfb",2
"1388","row",2
"1389","running",2
"1390","runs",2
"1391","russ",2
"1392","sad",2
"1393","san",2
"1394","saturday",2
"1395","sayin",2
"1396","sbnation",2
"1397","scheduling",2
"1398","scollinsea",2
"1399","search",2
"1400","secondary",2
"1401","section",2
"1402","security",2
"1403","seed",2
"1404","seeing",2
"1405","seen",2
"1406","seo",2
"1407","series",2
"1408","seriously",2
"1409","shady",2
"1410","shall",2
"1411","ship",2
"1412","shoutout",2
"1413","showing",2
"1414","shutdown",2
"1415","sight",2
"1416","simonebett",2
"1417","simple",2
"1418","sir",2
"1419","sister",2
"1420","skip",2
"1421","sleepin",2
"1422","slopkai",2
"1423","smart",2
"1424","socks",2
"1425","son",2
"1426","soon",2
"1427","sou",2
"1428","source",2
"1429","sources",2
"1430","spam",2
"1431","sport",2
"1432","sportsclew",2
"1433","sportsnews",2
"1434","spreads",2
"1435","springsprogress",2
"1436","stake",2
"1437","standing",2
"1438","startelegram",2
"1439","starters",2
"1440","stopped",2
"1441","stork",2
"1442","stuff",2
"1443","subrefs",2
"1444","subway",2
"1445","sucking",2
"1446","summer",2
"1447","sundayid",2
"1448","supermannoble",2
"1449","surprises",2
"1450","swisher",2
"1451","tall",2
"1452","tate",2
"1453","teamdmvclappas",2
"1454","teamredskins",2
"1455","tebow",2
"1456","tennessee",2
"1457","terrified",2
"1458","territory",2
"1459","texas",2
"1460","tha",2
"1461","thanksgiving",2
"1462","thatgirlrachel",2
"1463","theekhai",2
"1464","theonlydamienb",2
"1465","therealsito",2
"1466","thingsilove",2
"1467","throw",2
"1468","thru",2
"1469","tim",2
"1470","timeespn",2
"1471","titanes",2
"1472","todays",2
"1473","todo",2
"1474","together",2
"1475","toll",2
"1476","tonight",2
"1477","took",2
"1478","torrent",2
"1479","total",2
"1480","touchdown",2
"1481","town",2
"1482","tradition",2
"1483","tres",2
"1484","try",2
"1485","tryna",2
"1486","tto",2
"1487","tufnbjsf",2
"1488","tweets",2
"1489","tying",2
"1490","ugliest",2
"1491","una",2
"1492","uncharted",2
"1493","uni",2
"1494","vem",2
"1495","vikins",2
